scientific_name,common_name,city,state,height_M,tree_count,avg_mean
Other,,Los Angeles,California,,336095,0.0
Other,,New York,New York,,220022,0.0
Other,,Denver,Colorado,,150123,0.0
Other,,San Jose,California,,133706,32961.445965288134
Other,,Seattle,Washington,,112282,0.0
Other,,San Francisco,California,,96915,0.0
Other,,Portland,Oregon,,95739,0.0
Other,,Washington DC,District of Columbia,,94991,0.0
Other,,San Diego,California,,93677,0.0
Platanus acerifolia,,New York,New York,,87014,0.0
Other,,Columbus,Ohio,,65525,0.0
Other,,Baltimore,Maryland,,65505,22065.001462159533
Gleditsia triacanthos,,New York,New York,,64264,0.0
Other,,Houston,Texas,,60415,0.0
Pyrus calleryana,,New York,New York,,58931,0.0
Other,,Indianapolis,Indiana,,53250,0.0
Quercus palustris,,New York,New York,,53185,0.0
Lagerstroemia indica,,Houston,Texas,,44320,0.0
Quercus virginiana,,Houston,Texas,,44059,0.0
Other,,Minneapolis,Minnesota,,41803,0.0
Acer platanoides,,New York,New York,,40112,0.0
Other,,Stockton,California,,39868,0.0
Washingtonia robusta,,Los Angeles,California,,37971,0.0
Other,,Sacramento,California,,37853,0.0
Lagerstroemia indica,,Los Angeles,California,,34729,0.0
Other,,St. Louis,Missouri,,31978,0.0
Other,,Buffalo,New York,,31247,0.0
Magnolia grandiflora,,Los Angeles,California,,30988,0.0
Lagerstroemia indica,,New Orleans,Louisiana,,30244,0.0
Liquidambar styraciflua,,Los Angeles,California,,30061,0.0
Other,,Ontario,California,,29931,0.0
Tilia cordata,,New York,New York,,29742,0.0
Other,,Rancho Cucamonga,California,,29544,0.0
Prunus,,New York,New York,,29279,0.0
Zelkova serrata,,New York,New York,,29258,0.0
Ficus microcarpa,,Los Angeles,California,,28681,0.0
Fraxinus pennsylvanica,,Minneapolis,Minnesota,,28206,0.0
Other,,New Orleans,Louisiana,,28195,0.0
Other,,Anaheim,California,,27412,0.0
Platanus acerifolia,,San Jose,California,,26291,125.86854914279184
Other,,Irvine,California,,26065,0.0
